How often do you shop at Target?,Rank Price,Rank  Location,Rank  Products,Rank In-Store Experience,Rank Online Experience,Rank  Promotion/Sale,Rank  Others (please specify)," (1- the greatest influence, 6- the lowest influence)",Have your shopping habits at Target changed since 2020?,How have your shopping habits changed? - Selected Choice,How have your shopping habits changed? - Others(please specify) - Text,How do you rate your shopping experience? - Online,How do you rate your shopping experience? - In-Store,Since 2020 how much did your shopping experience improve?,Which Company would you prefer shopping based on the following categories? - Product Variety,Which Company would you prefer shopping based on the following categories? - Price,Which Company would you prefer shopping based on the following categories? - Shopping Experience,Which Company would you prefer shopping based on the following categories? - Promotions/Deals,"Do you take advantage of Target's ""RedCard"" loyalty rewards Program while shopping?",Which product lines do you like to shop at Target?,Do you prefer to shop Target's in-house brands?,What would make you to consider Target's in-house brands over other brands? - Selected Choice,What would make you to consider Target's in-house brands over other brands? - Other - Text,What is your perception of Target as a brand?,How likely do you recommend Target?,What areas can Target improve on?,What age group are you in?,What do you identify as? - Selected Choice,What do you identify as? - Self describe - Text
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once a month,2,5,1,4,6,3,7,The order,Changed significantly,More in-store shopping,,4,4,Decreased slightly,Target,Target,Target,Amazon,Sometimes yes,"Clothing, shoes, accessories,Home,Baby,Other",Yes,,,Very Good,Extremely likely,quick restock,41-55,Female,
Never,1,2,3,5,6,4,7,,Remained the same,,,0,,Remained the same,Amazon,Amazon,Amazon,Amazon,Definitely not,"Clothing, shoes, accessories",Maybe,Other,,Poor,Extremely unlikely,,18-26,Male,
Once a month,3,1,2,5,6,4,7,,Remained the same,,,4,5,Remained the same,Target,Walmart,Walmart,Walmart,Might or might not,"Home,Kitchen/Dining",Maybe,Price,,Good,Neither likely nor unlikely,,18-26,Male,
Once a month,4,6,1,5,3,2,7,,Remained the same,,,5,4,Improved significantly,Target,Amazon,Target,Target,Probably not,"Clothing, shoes, accessories,Home,Furniture,Kitchen/Dining,Electronics",Yes,,,Very Good,Extremely likely,,27-40,Female,
Once a month,2,1,3,4,5,6,7,,Changed slightly,More in-store shopping,,5,5,Remained the same,Amazon,Target,Target,Amazon,Definitely yes,"Clothing, shoes, accessories,Home,Furniture,Kitchen/Dining",Yes,,,Good,Extremely likely,,18-26,Female,
Never,1,2,3,4,5,7,6,,,More online shopping,,4,1,Improved significantly,Amazon,Amazon,Amazon,Amazon,Definitely not,,No,,,,Neither likely nor unlikely,,18-26,Female,
Never,4,1,2,3,6,5,7,,Remained the same,,,,,,Walmart,Walmart,Walmart,Walmart,Definitely not,Personal Care,No,Product quality,,Good,Neither likely nor unlikely,,27-40,Female,
Never,2,3,4,5,6,1,7,,Remained the same,,,5,1,Remained the same,Amazon,Amazon,Amazon,Amazon,Definitely not,Electronics,Maybe,Price,,Very Poor,Somewhat unlikely,,18-26,Male,
